title,author,price,price (including used books),pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher
"Econometric Analysis of Cross Section and Panel Data, second edition (The MIT Press)",Jeffrey M. Wooldridge,115.0, 37.13 - 115.00 ,1096,4.5,119,76,13,4,3,4,2164.9,1.8597287169999999,English,"The MIT Press; second edition (October 1, 2010)"
Become a Python Data Analyst: Perform exploratory data analysis and gain insight into scientific computing using Python,Alvaro Fuentes,24.99,24.99,178,4.8,10,77,23,0,0,0,466.1,0.31751462399999997,English,"Packt Publishing (August 31, 2018)"
Machine Learning Bookcamp: Build a portfolio of real-life projects,Alexey Grigorev,35.99, 29.25 - 35.99 ,472,4.5,14,81,10,9,0,0,671.2,0.8391458845,English,"Manning (November 23, 2021)"
SQL for Data Analytics: Perform fast and efficient data analysis with the power of SQL,"Upom Malik, Matt Goldwasser, et al.",27.88,27.88,386,4.4,234,69,13,11,4,3,989.1,0.5987419284000001,English,"Packt Publishing (August 23, 2019)"
Practical Discrete Mathematics: Discover math principles that fuel algorithms for computer science and machine learning with Python,Not Provided,62.99,62.99,330,4.3,39,65,17,6,4,7,852.6,0.5669904625000001,English,"Packt Publishing (February 22, 2021)"
"Microsoft 365: 11 Books in 1: The Ultimate All-in-One Bible to Master Excel, Word, PowerPoint, Outlook, OneNote, OneDrive, Access, Publisher, SharePoint, Teams and Visio with Step-by-Step Tutorials",Benjamin Zeldovich,24.14,24.14,560,5.0,429,98,1,1,0,0,1945.9,1.5694296002,English,"Independently published (December 5, 2022)"
Excel 2022: The most updated bible to master Microsoft Excel from scratch in less than 7 minutes a day | Discover all the features & formulas with step-by-step tutorials,Leonard J. Ledger,19.7,19.7,149,4.3,735,62,17,11,4,5,520.9,0.362873856,English,"Independently published (April 1, 2022)"
Data Science from Scratch: First Principles with Python,Joel Grus,44.97, 13.05 - 44.97 ,330,4.3,318,63,17,10,7,3,726.8,0.5987419284000001,English,"O'Reilly Media; 1st edition (April 30, 2015)"
Doing Data Science: Straight Talk from the Frontline,"""Cathy ONeil"" and Rachel Schutt",26.44, 14.99 - 26.44 ,408,4.3,175,61,24,7,5,3,690.2,0.544310844,English,"O'Reilly Media; 1st edition (November 19, 2013)"
"Excel Data Analysis: Your visual blueprint for analyzing data, charts, and PivotTables",Paul McFedries,8.09,8.09,"Explores all features and functions in two-color  packed with screenshots, numbered steps, and other visual graphics that clearly show you how to accomplish tasks",4.1,19,50,32,3,8,8,740.3,0.6123496995000001,English,"Visual; 4th edition (July 29, 2013)"
